Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
"GI-271, DIFU326, GMR002",Klo (5),Well Worn,"Ghostly International, Different, Good Manners Records","12"", EP",,2016,8894272,Electronic,2018-08-13 22:33:45,Near Mint (NM or M-),Near Mint (NM or M-),
1703,Timmy Thomas,Why Can't We Live Together,Glades,"7"", Single, Scr",,1972,453486,45 Funk/Soul,2023-02-23 15:36:43,,,
1722,Latimore (2),Let's Straighten It Out,Glades,"7"", Single, Styrene",,1974,2852981,45 60's/70's R&B,2023-02-22 22:37:51,Good Plus (G+),Generic,
1739,Latimore (2),Somethin' 'Bout 'Cha / Sweet Vibrations,Glades,"7"", Single",,1976,3287039,45 Funk/Soul,2023-02-02 22:04:10,Near Mint (NM or M-),Generic,
1752,Latimore (2),Long Distance Love / Out To Get 'Cha,Glades,"7""",,1979,2374663,45 Funk/Soul,2020-11-22 06:43:44,Near Mint (NM or M-),Near Mint (NM or M-),
7509,Latimore (2),It Ain't Where You Been... It's Where You're Goin',Glades,"LP, Album",,1976,1447563,Funk/Soul,2018-08-09 00:05:31,Very Good Plus (VG+),Very Good (VG),
"33-6502, ST-6502",Latimore (2),Latimore,"Glades, Glades","LP, Album",,1973,908109,Funk/Soul,2021-08-18 23:09:04,Near Mint (NM or M-),Very Good Plus (VG+),
GLS-0221-01,Childish Gambino,"Awaken, My Love!",Glassnote (2),"LP, Album",,2017,11116099,Funk/Soul,2021-07-11 21:13:23,Mint (M),Mint (M),
"828 522-1, 828 522 - 1",Portishead,Dummy,"Go! Beat, Go! Beat","LP, Album, RE, 180",,2000,1526433,90's Rock/Alternative,2018-08-13 22:35:14,Near Mint (NM or M-),Near Mint (NM or M-),
D-2458,Bob & Earl,Harlem Shuffle,Goldies 45,"7"", Single, RE",,1973,2908997,45 Funk/Soul,2023-06-11 00:56:57,Very Good Plus (VG+),Generic,
D 286 L,Undisputed Truth (2),The Undisputed Truth,Gordy,"LP, Album, RE, Unofficial",,0,5561092,Funk/Soul,2023-05-21 22:24:09,Near Mint (NM or M-),Near Mint (NM or M-),
G 1002,Rick James,Street Songs,Gordy,"LP, Album, RE, 180",,2016,9106450,Funk/Soul,2020-03-09 06:23:34,Mint (M),Mint (M),
G 7162F,Rick James,Mary Jane,Gordy,"7"", Promo",,1978,6163076,45 Funk/Soul,2023-06-12 22:22:16,Very Good (VG),Generic,
G 7197F,Rick James,Give It To Me Baby,Gordy,"7"", Single",,1981,3058818,45 Funk/Soul,2023-06-30 23:28:51,Very Good (VG),,
G6-970S1,Undisputed Truth (2),Cosmic Truth,Gordy,"LP, Album, RE, Gat",,0,1802417,Funk/Soul,2023-05-21 22:37:13,Near Mint (NM or M-),Near Mint (NM or M-),
G7-981R1,Rick James,Come Get It!,Gordy,"LP, Album",,1978,726381,Funk/Soul,2018-08-08 23:58:22,Very Good Plus (VG+),Very Good Plus (VG+),
GRAVE149,東京酒吐座 = 東京酒吐座,Crystallize = クリスタライズ,Graveface Records,"LP, Album, Ltd, RM, Blu",,2019,14145833,Japanese,2019-10-24 04:41:05,Mint (M),Mint (M),
32584,The Gap Mangione Trio,Diana In The Autumn Wind,GRC (2),"LP, Album",,1968,5234880,Jazz,2018-08-08 03:05:06,Good Plus (G+),Good Plus (G+),
MHJL 151,"Haruomi Hosono, Shigeru Suzuki & Tatsuro Yamashita",Pacific,Great Tracks (2),"LP, Album, Ltd, RE, Aqu",,2022,24276308,Japanese,2023-01-06 18:40:39,Mint (M),Mint (M),
GM 516,Ramon Morris,Sweet Sister Funk,Groove Merchant,"LP, Album, RE",,0,6036256,Jazz,2022-11-08 21:35:23,Mint (M),Mint (M),
GM 519,George Freeman,New Improved Funk,Groove Merchant,"LP, Album, RE",,0,1689583,Jazz,2022-11-08 21:38:34,Mint (M),Mint (M),
GROO029SG,Marcos Vermelho,"Gira-Gira / Parabéns, Meu Bem",Groovie Records,"7"", Single, RE, Bla",,2022,25851766,45 Funk/Soul,2023-06-03 22:53:57,Mint (M),Mint (M),
GROO029SG,Marcos Vermelho,"Gira-Gira / Parabéns, Meu Bem",Groovie Records,"7"", Single, RE, Bla",,2022,25851766,45 Funk/Soul,2023-06-03 22:54:17,Mint (M),Mint (M),
6874,Garnet Mimms,Stop And Check Yourself,GSF Records,"7"", Single",,1972,11156072,45 Funk/Soul,2023-06-14 22:15:12,Near Mint (NM or M-),Generic,
6877,Bags,It's Heavy,GSF Records,"7"", Promo, 45 ",,1972,5393645,45 Funk/Soul,2020-11-22 05:31:12,Near Mint (NM or M-),Generic,
25·3P-184,The Dooleys,Body Language,GTO,"LP, Album",,1979,5530649,70's R&B,2023-01-22 23:29:53,Near Mint (NM or M-),Near Mint (NM or M-),
"HME S 200168, MAR011",Reggie Andrews And The Fellowship (4),Mystic Beauty,"H.M.E., Mad About Records","LP, Album, Ltd, Num, RE",,2019,13931295,Jazz,2019-08-25 05:58:52,Mint (M),Mint (M),
HABIBI007,Various,حبيبي فنك مختارات موسيقية متنوعة من الوطن العربي = Habibi Funk (An Eclectic Selection Of Music From The Arab World),Habibi Funk,"2xLP, Comp",,2017,11209038,Persian,2019-06-15 19:43:09,Mint (M),Mint (M),
HABIBI009,فرقة العقارب & سيف أبو بكر,"Jazz, Jazz, Jazz",Habibi Funk,"LP, Album, RE",,2018,12765752,African,2021-03-17 16:30:58,Mint (M),Mint (M),
HABIBI016,روجيه فخر = روجيه فخر,Fine Anyway,Habibi Funk,"LP, Comp",,2021,18203218,Persian,2021-11-03 17:07:28,Mint (M),Mint (M),
HABIBI018,حميد الشاعري,The Slam! Years (1983-1988),Habibi Funk,"LP, Comp",,2022,22349812,Persian,2022-05-06 21:35:05,Near Mint (NM or M-),Near Mint (NM or M-),
HABIBI019,فرقة الأرض = فرقة الأرض,أغنية,Habibi Funk,"LP, Album, RE",,2022,23326160,Persian,2022-08-07 16:18:56,Mint (M),Mint (M),
HABIBI021,الموسيقى الحرة,Free Music (Part 1),Habibi Funk,"LP, Album, Comp",,2023,26359139,Persian,2023-06-05 17:38:54,Mint (M),Mint (M),
HF-1101,Various,Black Fist (Original Motion Picture Soundtrack),Happy Fox Records,"LP, Album",,1977,749606,Soundtrack,2023-04-20 23:11:20,Very Good Plus (VG+),Very Good (VG),
SW-11151,Babe Ruth,First Base,Harvest,"LP, Album, Win",,1973,182900,70's Rock,2021-01-29 17:13:18,Near Mint (NM or M-),Good Plus (G+),
B001920001,BANKS (7),London,"Harvest, Good Years","12"", EP, RE",,2014,6026628,Modern R&B,2018-08-08 04:14:59,Near Mint (NM or M-),Near Mint (NM or M-),
"HED-037, HED-737, 037",Drive Like Jehu,Yank Crime,"Headhunter Records, Headhunter Records, Headhunter Records, Cargo Records","LP + 7"" + Album, RP",,2012,5660132,Punk/HxC,2023-02-02 22:17:49,Mint (M),Mint (M),
HBB05,Beach House,Beach House,HeartBreakBeat Records,"LP, Album, RE, RM",,2010,2166327,Indie/Alternative,2018-10-11 01:41:23,Near Mint (NM or M-),Near Mint (NM or M-),
HS096VL,Various,More Ethiopian Soul And Groove - Ethiopian Urban Modern Music Vol. 3,Heavenly Sweetness,"LP, Comp, RE, 180",,2015,6631756,African,2023-04-26 21:15:36,Mint (M),Mint (M),
HNR009LP,Dashboard Confessional,The Places You Have Come To Fear The Most,Hidden Note Records,"LP, Album, Ltd, RE, Ora",,2020,15580592,Contemporary Emo,2021-02-08 16:48:05,Mint (M),Mint (M),
HJLP011,Ambiance II Fusion,Drift Up To Space,High Jazz* Records,"LP, Album, RE",,2020,16600689,Jazz,2021-05-17 23:22:10,Mint (M),Mint (M),
LPDOSRSD 1,Hilton Felton,A Man For All Reasons,"Hilton's Concept, Inc., Diplomats Of Soul","LP, Album, RSD, Ltd, Num, RE",,2021,19116478,Jazz,2021-07-11 21:22:45,Mint (M),Mint (M),
HMJA-128,Yumi Murata,Krishna,HMV Record Shop,"LP, Album, RE",,2020,15733257,Japanese,2020-11-02 06:37:40,Mint (M),Mint (M),
HC 56,Orchestre The Soul Kids,Toute L'Afrique Danse Vol. 10,Hot Casa Records,"LP, Album, RE",,2018,12450362,African,2018-12-24 01:00:09,Mint (M),Mint (M),
HP003,Various,Houseplant - Houseparty Double LP,Houseplant,"LP, Comp, Ltd, Opa + LP, Comp, Ltd, Opa",,2022,25322635,Uncategorized,2022-12-01 12:16:58,Mint (M),Mint (M),
HDYA RE05,Various,Too Slow To Disco Brasil,How Do You Are?,"2xLP, Comp",,2018,11924812,Brazilian,2020-06-05 22:40:27,Mint (M),Mint (M),
HOLP-002,Nujabes,Metaphorical Music,Hyde Out Productions,"2xLP, Album, Ltd, RE",,2018,12639854,Instrumental/Beats,2021-07-06 10:02:24,Mint (M),Mint (M),
HOLP-003,Various,Hydeout Productions - First Collection,Hyde Out Productions,"2xLP, Comp, Ltd, Gat",,2019,14346668,Instrumental/Beats,2021-09-07 13:35:11,Mint (M),Mint (M),
HOLP-004,Nujabes,Modal Soul,Hyde Out Productions,"2xLP, Album, RE",,2020,14841127,Instrumental/Beats,2021-09-16 15:28:55,Mint (M),Mint (M),
HOLP-005,Uyama Hiroto,A Son Of The Sun,Hyde Out Productions,"2xLP, Album, Ltd, Gat",,2020,16135676,Instrumental/Beats,2021-03-06 15:03:18,Mint (M),Mint (M),
HOR-033,Nujabes Featuring Cise Star,Lady Brown,Hyde Out Productions,"12""",,2003,496638,"12"" Instrumental/Beats",2019-01-02 23:27:27,Mint (M),Mint (M),
HOR-064,Nujabes,Kumomi / Untitled,Hyde Out Productions,"7"", Ltd",,2016,9390747,45 Hip-Hop/Instrumental,2018-12-21 19:49:54,Mint (M),Mint (M),
HDBLP002,Burial,Untrue,Hyperdub,"2x12"", Album",,2007,1125096,Electronic,2021-10-14 17:52:31,Mint (M),Mint (M),
HDBLP019,Jessy Lanza,Pull My Hair Back,Hyperdub,"LP, Album",,2013,4887076,Electronic,2018-08-13 22:23:59,Near Mint (NM or M-),Near Mint (NM or M-),
HDBLP020,DJ Rashad,Double Cup,"Hyperdub, Teklife","2xLP, Album",,2013,5116960,Electronic,2021-10-14 17:49:17,Mint (M),Mint (M),
X5321,Pee Wee Crayton,"I Need Your Love / You Know, Yeah",Imperial,"7"", Single",,1954,7501375,45 60's Rock,2020-11-22 05:24:58,Very Good Plus (VG+),Generic,
"AS-9163, GET 54037",Tom Scott With The California Dreamers,The Honeysuckle Breeze,"Impulse!, Get On Down","LP, Album, Ltd, RE, Gat",,2011,2647913,Jazz,2018-08-08 03:26:58,Near Mint (NM or M-),Near Mint (NM or M-),
"A-9171, AS-9171",Tom Scott,Rural Still Life,"Impulse!, Impulse!, ABC Records, ABC Records","LP, Album, Gat",,1968,976503,Jazz,2021-10-22 16:59:00,Near Mint (NM or M-),Near Mint (NM or M-),
"B0035572-01, A-9181, AS-9181",Pharoah Sanders,Karma,"Impulse!, UMe, Verve Records, Impulse!, Impulse!","LP, Album, RE, RM, 180",,2022,25484281,Jazz,2023-01-06 18:50:08,Mint (M),Mint (M),
IMG 1006,Miriah Avila,You Never Loved Me At All,Industry Music Group,"7"", Ltd, Rub",,2020,16214847,45 Funk/Soul,2021-07-13 15:30:35,Mint (M),Mint (M),
IL 2034,BadBadNotGood,IV,Innovative Leisure Records,"2xLP, Album",,2016,8716935,New Jazz,2018-08-08 00:21:27,Mint (M),Mint (M),
IL2019,BadBadNotGood,III,Innovative Leisure Records,"2xLP, Album",,2014,5646929,New Jazz,2018-08-08 00:25:02,Near Mint (NM or M-),Near Mint (NM or M-),
IARC0055,Charles Stepney,Step On Step,"International Anthem Recording Company, The Charles Stepney Masters","2xLP, Album, 140",,2022,24471269,Funk/Soul,2022-09-24 23:03:36,Mint (M),Mint (M),
INTR-10935-1,50 Cent,21 Questions / Many Men [Wish Death],"Interscope Records, Aftermath Entertainment, Shady Records, G Unit, Violator Records","12"", Promo",,2003,1112107,"12"" Hip-Hop",2023-02-08 19:37:56,Near Mint (NM or M-),Near Mint (NM or M-),
B0017695-01,Kendrick Lamar,"Good Kid, M.A.A.d City","Interscope Records, Aftermath Entertainment, Top Dawg Entertainment","2xLP, Album, Dlx",,2012,3975953,Hip-Hop,2019-01-04 21:22:28,Near Mint (NM or M-),Near Mint (NM or M-),
B0022088-01,No Doubt,Tragic Kingdom,"Interscope Records, Trauma Records (2)","LP, Album, RE",,2014,6595759,90's Rock/Alternative,2018-10-11 01:22:14,Mint (M),Mint (M),
ICE 005R,Witch (3),Movin' On,Invisible City Editions,"LP, Album, RE",,2018,12412551,African,2021-08-26 19:38:04,Mint (M),Mint (M),
B0003837-01,Bob Marley & The Wailers,Legend - The Best Of Bob Marley And The Wailers,"Island Records, Tuff Gong, Universal Music Special Markets","LP, Comp, RE, Ras",,2004,1067963,Reggae,2018-08-08 02:29:50,Near Mint (NM or M-),Near Mint (NM or M-),
B0025262-01 JK02,The Killers,Hot Fuss,"Island Records, UMe","LP, Album, RE",,2017,9642831,2000s Rock/Alternative,2018-10-11 01:31:13,Mint (M),Near Mint (NM or M-),
B0025588-01,Fall Out Boy,From Under The Cork Tree ,"Island Records, UMe","2xLP, Album, RE, 180",,2016,9506259,2000s Emo,2018-08-15 02:17:24,Near Mint (NM or M-),Near Mint (NM or M-),
B0029027-01,The Cranberries,"Everybody Else Is Doing It, So Why Can't We?","Island Records, UMe","LP, Album, RE, RM, 25t",,2018,12682791,90's Rock/Alternative,2019-07-06 04:35:00,Near Mint (NM or M-),Mint (M),
82876-55712-1,Alicia Keys,The Diary Of Alicia Keys,J Records,"2xLP, Album, Gat",,2003,1761087,2000s R&B,2020-03-04 23:19:22,Mint (M),Mint (M),
82876-56599-7,Alicia Keys,You Don't Know My Name,J Records,"7"", Single",,2003,2491021,45 R&B,2020-11-22 05:37:03,Near Mint (NM or M-),Generic,
T.C. 7542,Smoke (13),I'm So Lonely / Have I Really Lost You,J.Bridge Records,"7""",,1975,1919529,45 60's/70's R&B,2023-02-22 19:24:38,Very Good (VG),Generic,
JPR031,Mustafa Özkent Ve Orkestrası,Gençlik İle Elele,Jackpot Records (3),"LP, Album, RE",,2021,21619615,Persian,2023-05-07 23:17:36,Mint (M),Mint (M),
"JPR-037, B0024344-01",Etta James,At Last!,"Jackpot Records (3), Universal Music Special Markets","LP, Album, Ltd, RE, Pur",,2016,8919955,60's R&B,2018-08-08 23:56:30,Near Mint (NM or M-),Near Mint (NM or M-),
"JT1036, 82108-1SC",Cap'n Jazz,Analphabetapolothology,"Jade Tree, Epitaph","2xLP, Comp, M/Print, RE, RP, 180",,2017,10914395,2000s Emo,2018-08-15 01:54:30,Mint (M),Mint (M),
"JT1052, 82102-1",Jets To Brazil,Four Cornered Night,"Jade Tree, Epitaph","2xLP, Album, Ltd, RE, Cle",,2017,10989154,2000s Emo,2018-08-15 01:57:04,Near Mint (NM or M-),Near Mint (NM or M-),
"JT1035, 82114-1",The Promise Ring,Nothing Feels Good,"Jade Tree, Jade Tree","LP, Album, RE",,2018,11932958,2000s Emo,2021-02-25 19:45:44,Mint (M),Mint (M),
JAG 134,Bon Iver,Blood Bank,Jagjaguwar,"12"", EP",,2009,1610236,Indie/Alternative,2018-10-11 01:36:32,Near Mint (NM or M-),Near Mint (NM or M-),
JAG115,Bon Iver,"For Emma, Forever Ago",Jagjaguwar,"LP, Album, RE",,2012,6575854,Indie/Alternative,2018-10-11 01:45:09,Near Mint (NM or M-),Near Mint (NM or M-),
JAG135-R,Bon Iver,"Bon Iver, Bon Iver",Jagjaguwar,"LP, Album, Red",,2011,2963224,Indie/Alternative,2018-10-11 01:39:22,Near Mint (NM or M-),Near Mint (NM or M-),
JAG232,Unknown Mortal Orchestra,II,Jagjaguwar,"LP, Album",,2013,4245199,Indie/Alternative,2018-08-13 22:21:31,Near Mint (NM or M-),Near Mint (NM or M-),
JAG262,Unknown Mortal Orchestra,Multi-Love,Jagjaguwar,"LP, Album, Yel",,2015,7050134,Indie/Alternative,2018-08-13 22:32:28,Near Mint (NM or M-),Near Mint (NM or M-),
JAG284,Angel Olsen,My Woman,Jagjaguwar,"LP, Album, Gat",,2016,8971083,Indie/Alternative,2018-10-11 02:00:15,Near Mint (NM or M-),Near Mint (NM or M-),
JAG299,Bon Iver,22 / 10,Jagjaguwar,"12"", Single",,2016,8901878,"12"" Indie/Alternative",2018-10-11 02:32:26,Mint (M),Mint (M),
"JAG300, JAG299",Bon Iver,"22, A Million","Jagjaguwar, Jagjaguwar","LP, Album + 12"", Single + Ltd",,2016,9195441,Indie/Alternative,2018-10-11 02:31:07,Near Mint (NM or M-),Near Mint (NM or M-),
"JAG314LP-C1, JAG314",Angel Olsen,Phases,"Jagjaguwar, Jagjaguwar","LP, Comp, Ltd, Oli",,2017,11112828,Indie/Alternative,2021-08-11 14:59:10,Mint (M),Mint (M),
"JAG322, JAG298LP",Unknown Mortal Orchestra,Sex & Food,"Jagjaguwar, Jagjaguwar","LP, Album, Ltd, Pin + 12""",,2018,11819037,Indie/Alternative,2018-08-13 22:10:24,Mint (M),Mint (M),
"JAG350, JAG 350",Bon Iver,"i,i","Jagjaguwar, Jagjaguwar","LP, Album",,2019,14041411,Indie/Alternative,2019-09-03 00:42:30,Mint (M),Mint (M),
JRLP038,King Tubby And The Aggrovators,Shalom Dub,Jamaican Recordings,"LP, Album, RE",,2010,2475752,Reggae,2021-05-14 22:31:43,Mint (M),,
JLS 3044,Cymande,Cymande,Janus Records,"LP, Album, RE, Gat",,0,14504058,Funk/Soul,2021-03-05 15:38:00,Mint (M),Mint (M),
JWR 4504,John Coltrane,Lush Life,Jazz Wax Records,"LP, Album, Ltd, RE, 180",,2009,2885874,Jazz,2018-08-08 02:44:13,Near Mint (NM or M-),Near Mint (NM or M-),
01241-41331-1,A Tribe Called Quest,People's Instinctive Travels And The Paths Of Rhythm,Jive,"2xLP, Album, RE, RM",,1996,93640,Hip-Hop,2019-01-04 21:55:38,Near Mint (NM or M-),Very Good Plus (VG+),
01241-41418-1,A Tribe Called Quest,The Low End Theory,Jive,"2xLP, Album, RE, RM, B&W",,1996,390411,Hip-Hop,2019-01-03 01:00:40,Near Mint (NM or M-),Very Good Plus (VG+),
01241-41490-1,A Tribe Called Quest,Midnight Marauders,Jive,"LP, Album, RE, RP",,0,3429382,Hip-Hop,2019-01-03 01:01:51,Near Mint (NM or M-),Near Mint (NM or M-),
01241-42094-1,A Tribe Called Quest,Hot Sex,Jive,"12""",,1992,370795,"12"" Hip-Hop",2019-01-03 00:26:17,Near Mint (NM or M-),Good Plus (G+),
"JIVE T 401, 051559 6",Crustation,Purple,"Jive, Jive","12""",,1997,83437,Electronic,2019-07-29 17:51:44,Very Good Plus (VG+),Very Good Plus (VG+),
JP532,Livin' Proof (3),You And I,Ju-Par Records Ltd.,"7""",,1977,2494477,45 Funk/Soul,2023-06-23 21:48:20,Very Good (VG),Generic,
100,"Bishop John Ware, First Congregational Church Of Victory Choir Of Chicago",Beams Of Heaven / Victory,JW Enterprises,"7"", Single",,0,15243665,45 Funk/Soul,2020-11-22 06:00:35,Near Mint (NM or M-),Generic,
KALITA LP003,Emerson (3),"If You Need Me, Call Me",Kalita Records,"LP, Album",,2019,13469401,Funk/Soul,2019-08-04 02:05:32,Mint (M),Mint (M),
KMPN006,"Personify, Various",Personify Edits,Kampana,"7"", Unofficial",,2020,15603422,45 Funk/Soul,2021-01-29 17:21:38,Mint (M),Mint (M),
KGM014,14KT,Nowalataz,Karat Gold Music,"LP, Album",,2017,10568747,Instrumental/Beats,2018-12-22 00:20:10,Mint (M),Mint (M),
34013,Sam Cooke,You Send Me,Keen (2),"7"", Single, Scr",,1957,2410040,45 R&B,2019-10-14 01:14:52,Very Good (VG),Very Good (VG),
"19075-93492-1, MMS031",Freddie Gibbs & Madlib,Bandana,"Keep Cool (3), RCA, Madlib Invazion, ESGN","LP, Album",,2019,13898058,Hip-Hop,2019-09-03 20:38:29,Mint (M),Mint (M),
45-6035,James Brown & The Famous Flames,It's A Man's Man's Man's World / Is It Yes Or Is It No?,King Records (3),"7"", Single",,1966,3945340,45 Funk/Soul,2023-02-21 22:56:17,Very Good (VG),Generic,
KNK030,"Great Architect, Moenda",Great Architect / Moenda,Kinnikinnik,"7""",,2010,4782745,New Jazz,2020-10-10 00:50:38,Very Good Plus (VG+),Very Good Plus (VG+),
PROT-7221,Masayoshi Takanaka,All Of Me,Kitty Records,"2xLP, Album, Comp, Ltd, RE, RM",,2022,25306579,Japanese,2023-01-06 18:41:33,Mint (M),Mint (M),
KFR2025-1,Fela Kuti And Africa 70,Zombie,Knitting Factory Records,"LP, Album, RE",,2014,19995013,African,2021-09-16 15:25:44,Mint (M),Mint (M),
KFR-2028-1,Fela Kuti And Africa 70,Fear Not For Man,"Knitting Factory Records, Kalakuta Sunrise","LP, Album, RE",,2015,7633054,African,2021-03-21 14:46:50,Mint (M),Mint (M),
KFR2008-1,Fela Kuti & The Africa 70,Afrodisiac,"Knitting Factory Records, Kalakuta Sunrise","LP, Album, RE",,2016,6248707,African,2018-08-08 01:41:32,Near Mint (NM or M-),Near Mint (NM or M-),
"KU-34, NO-34",Idris Muhammad,Turn This Mutha Out,"Kudu, Kudu","LP, Album, RE",,0,14418079,Jazz,2021-03-21 14:42:28,Mint (M),Mint (M),
ALNLP46,BadBadNotGood,LateNightTales,LateNightTales,"2xLP, Album, Comp",,2017,10601632,New Jazz,2018-08-08 00:18:56,Near Mint (NM or M-),Near Mint (NM or M-),
"LTJC-002 , TBM-39, TBM 39, 15PJ-1021",Masaru Imada Trio,Green Caterpillar,"Le Très Jazz Club, Three Blind Mice, Three Blind Mice, Three Blind Mice","LP, Album, Ltd, RE, RP",,2020,16265402,Japanese,2022-11-25 18:05:57,Mint (M),Mint (M),
LR118,Kiefer Shackelford,Kickinit Alone,Leaving Records,LP,,2017,10428617,Instrumental/Beats,2018-12-22 00:24:43,Mint (M),Mint (M),
"LR26, LR/26",Knxwledge,Anthology,"Leaving Records, Leaving Records","2xLP, Comp, Ltd, RE",,2015,7597790,Instrumental/Beats,2018-12-22 00:40:03,Mint (M),Near Mint (NM or M-),
LEX108,BadBadNotGood & Ghostface Killah,Sour Soul (Instrumentals),Lex Records,"LP, Album, Ltd",,2015,7004208,Instrumental/Beats,2021-05-27 18:56:12,Mint (M),Mint (M),
LITA 027,Betty Davis,They Say I'm Different,Light In The Attic,"LP, Album, RE, RM, 180",,2011,3089860,Funk/Soul,2021-02-06 11:10:36,Mint (M),Mint (M),
LITA 080,Wendy Rene,After Laughter Comes Tears: Complete Stax & Volt Singles + Rarities 1964-1965,Light In The Attic,"2xLP, Comp",,2012,3381946,60's R&B,2019-05-18 23:46:02,,,
LITA 082,Donnie & Joe Emerson,Dreamin' Wild,Light In The Attic,"LP, Album, RE, RM",,2012,3669424,70's Rock,2021-02-16 23:13:21,Mint (M),Mint (M),
LITA 083,Various,Country Funk 1969-1975,Light In The Attic,"2xLP, Comp, Ltd, RM, Ora",,2021,19719055,70's Rock,2021-08-02 15:44:43,Mint (M),Mint (M),
LITA 151,The Shaggs,Philosophy Of The World,Light In The Attic,"LP, Album, RE, RM, Gat",,2016,9023698,60's Rock,2021-02-16 23:18:35,Mint (M),Mint (M),
LITA 179,Various,"Pacific Breeze 2: Japanese City Pop, AOR And Boogie 1972-1986",Light In The Attic,"2xLP, Comp, RM",,2020,15303740,Japanese,2021-02-16 23:15:03,Mint (M),Mint (M),
LITA 45-023,Ariel Pink's Haunted Graffiti & Dam-Funk Cover Donnie & Joe Emerson,Baby,Light In The Attic,"7"", Blu",,2012,4220750,45 Rock/Alternative,2018-12-21 20:19:47,Mint (M),Mint (M),
LITA 45-038,Mac DeMarco / Haruomi Hosono,Honey Moon,Light In The Attic,"7"", Single, Tra",,2019,13004939,45 Rock/Alternative,2021-02-16 23:08:31,Mint (M),Mint (M),
LITA163,Various,"Pacific Breeze: Japanese City Pop, AOR And Boogie 1976-1986",Light In The Attic,"2xLP, Comp, Ltd, Pin",,2019,13549525,Japanese,2019-07-19 00:00:42,Mint (M),Mint (M),
LITA173,Haruomi Hosono,Hosono House,Light In The Attic,"LP, Album, RE, Gat",,2018,12633281,Japanese,2019-11-03 00:15:55,Mint (M),Mint (M),
LITA 148,Erasmo Carlos E Os Tremendões,Erasmo Carlos E Os Tremendões,"Light In The Attic, RGE","LP, Album, RE, RM",,2016,9683436,Brazilian,2018-08-11 01:10:35,Mint (M),Mint (M),
LR337,Caetano Veloso,Caetano Veloso,Lilith,"LP, Album, RE, 180 + CD, Album, RE",,2007,6424591,Brazilian,2023-04-20 23:45:11,Mint (M),Mint (M),
"LR150, LR340",Various,Tropicália Ou Panis Et Circensis,"Lilith, Lilith","LP, Album, RE + CD, Album",,2008,4467995,Brazilian,2023-04-20 23:26:29,Mint (M),Mint (M),
"LION-LP 102-D, LION LP-102",Odyssey (22),Setting Forth,"Lion Productions, Lion Productions","LP, Album, RE",,2019,14356687,60's Rock,2019-11-30 23:02:46,Mint (M),Mint (M),
ARTUP-004LP,TOKiMONSTA,Midnight Menu,"Listen Up, Art Union","LP, Album",,2010,2496148,Instrumental/Beats,2019-05-19 08:26:42,,,
LVR00856,Soccer Mommy,Color Theory,Loma Vista,"LP, Album",,2020,14876829,Indie/Alternative,2020-03-08 05:18:31,Mint (M),Mint (M),
810 127-7,Bananarama,Cruel Summer,London Records,"7"", Single",,1984,1887518,45 70's/80's Rock,2023-06-14 22:15:12,Very Good Plus (VG+),Generic,
none,Adult Dude,EP,Lonely Creeper,"7"", EP, Blu",,2013,12469059,45 Punk/Emo,2018-12-21 20:15:20,Mint (M),Mint (M),
88561-1208-1,Common,Resurrection,Loud Records,"LP, Album, RE",,0,1545865,Hip-Hop,2019-01-04 21:51:55,Near Mint (NM or M-),Near Mint (NM or M-),
